name,image_url,url,review count,rating,snippet,neighborhood,latitude,longitude,category,type
Amazing Wok,http://s3-media2.fl.yelpcdn.com/bphoto/GVj2oLVvfiQAXaBJWkWC8g/ms.jpg,http://www.yelp.com/biz/amazing-wok-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,32,4,"In the Dormont area, Amazing Wok is the best for quick, affordable and tasty Chinese takeout/delivery. This is not a dine-in restaurant. The food has always...",Dormont,40.39469942,-80.03484249,chinese,food
Andy's Sushi Bar,http://s3-media1.fl.yelpcdn.com/bphoto/IrcDz-3gvhSRh_EbcTBBDQ/ms.jpg,http://www.yelp.com/biz/andys-sushi-bar-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,44,4,Andy is great and his sushi is even better!  I've worked in the strip now for 12 years and have been going here ever since it all started.  The food is...,Strip District,40.45011139,-79.98587799,sushi,food
Angkor Restaurant,http://s3-media1.fl.yelpcdn.com/bphoto/wEHB3qriOaw1y7Bge8p8jg/ms.jpg,http://www.yelp.com/biz/angkor-restaurant-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,59,4,This is an excellent Thai/Cambodian restaurant. The first night they let me sample the green curry sauce and the Panang sauce. I ended up trying a Cambodian...,West End,40.42744064,-80.05576324,thai,food
Apsara Cafe,http://s3-media4.fl.yelpcdn.com/bphoto/8gIMKpjd2OvHsBpCyzBDRw/ms.jpg,http://www.yelp.com/biz/apsara-cafe-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,47,4,I have been wanting to eat here for a while and I finally did this week. My boyfriend and I are big fans of Thai food and like trying different places. We...,South Side,40.42896883,-79.9817369,thai,food
Arcade Bakery & Cafe,http://s3-media4.fl.yelpcdn.com/bphoto/Y2txohyH10ioBuoMXBzGhA/ms.jpg,http://www.yelp.com/biz/arcade-bakery-and-cafe-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,6,4.5,"On many levels, I consider myself a Macy's devotee.  Every day is a One-Day sale and my Macy's card gives me access to coupons that keep me surrounded in...",Downtown,40.4395294,-79.9983673,cafes,food
Arcade Comedy Theater,http://s3-media4.fl.yelpcdn.com/bphoto/olP9dLZc6HyBoDjaRKuiEw/ms.jpg,http://www.yelp.com/biz/arcade-comedy-theater-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,21,4.5,"This place is awesome. Terrific. Fun!!!!
There are shows for kids, shows for adults, shows for adults-only, shows for families.
The Arcade hosts many types...",Downtown,40.443036,-79.998621,arts,arts
Arnold's Tea,http://s3-media2.fl.yelpcdn.com/bphoto/Pee92I4pJNTV1qrgJSCxYQ/ms.jpg,http://www.yelp.com/biz/arnolds-tea-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,21,4.5,I decided to check this place out since it has been a while since I've been on the North-side. There is street parking along with a parking lot on a...,North Side,40.453701,-80.000473,coffee,food
Avenue B,http://s3-media2.fl.yelpcdn.com/bphoto/2ar8oH9VZBeYq03Q2GSsAg/ms.jpg,http://www.yelp.com/biz/avenue-b-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,164,4,"Really excellent meal, easily the best I had in my visit to Pittsburgh.

BYOB is such a fun concept, and loved that we got to pick out our own wine. Upon...",Friendship,40.45685577,-79.93643188,newamerican,food
Bangal Kabab House and Restaurant,http://s3-media2.fl.yelpcdn.com/bphoto/9162H56suabPTtMCiU8dJQ/ms.jpg,http://www.yelp.com/biz/bangal-kabab-house-and-restaurant-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,87,4.5,"I have only ever been here for the lunch buffet, but I have out of the five other lunch buffets I have tried so far in Pittsburgh, this one is by far my...",Oakland,40.439047,-79.9554689,indpak,food
Bar 11,http://s3-media2.fl.yelpcdn.com/bphoto/34w7n_o6Dvrr5ncZcr7iZQ/ms.jpg,http://www.yelp.com/biz/bar-11-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,43,4,"Some people call this a frat house, maybe if a frat house is run by a couple of 50 year old guys, but dont get me wrong its a fun place.

You order a...",South Side,40.42720445,-79.98731442,nightlife,nightlife
Bar Marco,http://s3-media1.fl.yelpcdn.com/bphoto/4tnCnEWOw5GxNKPpw9AMAw/ms.jpg,http://www.yelp.com/biz/bar-marco-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,172,4,My daughter and I were trying to decide where to eat dinner last night. She went to the Pittsburgh Magazine website and looked at their list. She picked out...,Strip District,40.45249176,-79.98155975,cafes,food
Bartram House Bakery,http://s3-media3.fl.yelpcdn.com/bphoto/0zKSQ8zhY5qB8PllDoI9Zw/ms.jpg,http://www.yelp.com/biz/bartram-house-bakery-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,28,4,"Everything about this place  - food, service, atmosphere was A+ I had the filet mignon sandwich, and it was delicious! The bread was soft and fresh, and the...",South Side,40.42731442,-79.96800654,cafes,food
Bea Taco Town,http://s3-media1.fl.yelpcdn.com/bphoto/WC6FDqzlYU7tGL_eSO_bcA/ms.jpg,http://www.yelp.com/biz/bea-taco-town-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,40,4.5,I went today for the first time.  I ordered a taco salad with chorizo. I don't think it is an exaggeration to say that it was the best taco salad I've ever...,Downtown,40.442413,-79.997314,mexican,food
Bella Christie's & Lil Z's Sweet Boutique,http://s3-media3.fl.yelpcdn.com/bphoto/jMXgIxUPXmvEKZAVgWBWTg/ms.jpg,http://www.yelp.com/biz/bella-christies-and-lil-zs-sweet-boutique-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,21,4,"This shop and their staff are AMAZING!  I'm based in NY and wanted to send a dozen donuts to a client located in Pittsburgh.

Dimitri was super helpful in...",Lawrenceville,40.464398,-79.966333,donuts,food
Better-Maid Donut,http://s3-media4.fl.yelpcdn.com/bphoto/kosx3Bm4nHjz_jxtnqfuXw/ms.jpg,http://www.yelp.com/biz/better-maid-donut-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,24,4.5,"Please please please come back soon!  A few months ago a van actually drove THROUGH the store front.  No one killed, but some injuries.  We miss the donuts...",Crafton Heights,40.44177628,-80.04746246,donuts,food
Bicycle Heaven,http://s3-media4.fl.yelpcdn.com/bphoto/UQDRen4KQxm4_kM68VL0Ew/ms.jpg,http://www.yelp.com/biz/bicycle-heaven-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,35,5,This was one of the highlights of my day in Pittsburgh. It is almost overwhelming to see everything in there.  One of my favorite sections was all the...,North Side,40.45637987,-80.03223081,shopping,shopping
Big Dog Coffee,http://s3-media2.fl.yelpcdn.com/bphoto/cXbJ8NqeVBCnpnvhMksI0A/ms.jpg,http://www.yelp.com/biz/big-dog-coffee-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,153,4.5,"Y'all. I LIVED here when I lived on E. Carson.
LIVED.

Its the cutiest-patootiest coffee joint in the area. And now that I've been adulting and...",South Side,40.426003,-79.966652,coffee,food
Bigham Tavern,http://s3-media1.fl.yelpcdn.com/bphoto/vCYAb_GgIQ-P_fnKWynOEg/ms.jpg,http://www.yelp.com/biz/bigham-tavern-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,106,4,"Bruh!

The food here is so good! Being that I love bacon this is a place after my own heart. I had previously studied the pictures and reviews on Yelp and...",Mt. Washington,40.432386,-80.015066,nightlife,nightlife
Bistro To Go,http://s3-media2.fl.yelpcdn.com/bphoto/TdHYGlGiUGaMvNo3bU0IXQ/ms.jpg,http://www.yelp.com/biz/bistro-to-go-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,33,4,"I ordered the stuffed chicken, roast beef, and garlic mashed potatoes for my mothers 80th birthday party.  The service was not only efficient and friendly,...",North Side,40.453289,-80.001091,sandwiches,food
Black Forge Coffee,http://s3-media4.fl.yelpcdn.com/bphoto/tHlAaNvr5ZEjPNcVjQV3gg/ms.jpg,http://www.yelp.com/biz/black-forge-coffee-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,11,5,The world is run on small business and Arlington Ave is becoming a small business empire.  Black Forge Coffee is run by Nick and Ashley and has home grown...,Allentown,40.42151642,-79.99243164,coffee,food
Blighty,,http://www.yelp.com/biz/blighty-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,1,4,British fare in the 'burgh? A variety of pastys (either fresh or frozen) and grocery items too. The traditional Cornish Pastie was tremendously flavorful...,Strip District,40.4503288,-79.9867935,ethnicmarkets,food
Blue Moon,http://s3-media4.fl.yelpcdn.com/bphoto/vLISPmE1aRKzslQOVkPMDA/ms.jpg,http://www.yelp.com/biz/blue-moon-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,23,4,"Fun fun times.

Visiting the Pittsburgh area for a quick weekend getaway for football. We love drag so we were found this spot online what an amazing dive...",Lawrenceville,40.4788799,-79.95566,nightlife,nightlife
Bluebird Kitchen,http://s3-media4.fl.yelpcdn.com/bphoto/6SGBam9l9nsrebEmS2sM1g/ms.jpg,http://www.yelp.com/biz/bluebird-kitchen-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,147,4,"I once asked myself, ""Where do all the young professionals of this fine rust belt city wait in line for fancy carry out lunches?""

The answer is Bluebird....",Downtown,40.44046395,-80.00173934,newamerican,food
Bombay Gyro's and Lunch Box,http://s3-media1.fl.yelpcdn.com/bphoto/1CCh_WqhMj0hGQz8dmGvJA/ms.jpg,http://www.yelp.com/biz/bombay-gyros-and-lunch-box-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,16,4,"Cheap, quick and easy is just how I like my curry. The aloo baingan, or as I call it the 'eggplant potato-y thing,' is my hands down favorite dish when they...",Downtown,40.4442059,-79.9955278,ethnicmarkets,food
BreadWorks,http://s3-media3.fl.yelpcdn.com/bphoto/CDDUjmq73tGEOdXbIONYUg/ms.jpg,http://www.yelp.com/biz/breadworks-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,17,4.5,"Why have I not been getting bread from BreadWorks my entire life?  I have never actually been inside BreadWorks, but tons of Pittsburgh restaurants use...",North Side,40.46213531,-80.01896667,bakeries,food
Brew On Broadway,http://s3-media3.fl.yelpcdn.com/bphoto/09y3Fojq6DnqLsp6O7AgVg/ms.jpg,http://www.yelp.com/biz/brew-on-broadway-pittsburgh-2?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,16,4.5,"My favorite coffee shop. I used to drive to Southside to Beehive but this is so close to home and so cozy that I can't stay away.

The staff is so friendly...",Beechview,40.4108593,-80.0244004,coffee,food
Butcher and the Rye,http://s3-media4.fl.yelpcdn.com/bphoto/KD5gNk38_7OjzKjR76gUfQ/ms.jpg,http://www.yelp.com/biz/butcher-and-the-rye-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,354,4.5,"My go to restaurant every year for my birthday...
It is my favorite restaurant in the city of Pittsburgh! Whenever I go- I HAVE to get the tartare. It is...",Downtown,40.442334,-80.002066,newamerican,food
Butterjoint,http://s3-media1.fl.yelpcdn.com/bphoto/VHG9IiSD5cIuxZNahY0XtA/ms.jpg,http://www.yelp.com/biz/butterjoint-pittsburgh-3?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,119,4,"holy sweet buttered heaven! the food is brilliantly well thought out. it's approachable and sophisticated.
beef tartare small plate is perfect. the plate...",Oakland,40.44997597,-79.95073719,nightlife,nightlife
Cafe Moulin,http://s3-media2.fl.yelpcdn.com/bphoto/oFNLYEqsbdYnptRHAXWfZA/ms.jpg,http://www.yelp.com/biz/cafe-moulin-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,73,4,Cafe Moulin makes me smile. They are doing classic French crepes right! The menu has an extensive list of both sweet and savory crepes. The ingredients are...,Shadyside,40.45162224,-79.93318538,french,food
Caliban Book Shop,http://s3-media2.fl.yelpcdn.com/bphoto/DZpKsjfaF6bSol5FfTCsTA/ms.jpg,http://www.yelp.com/biz/caliban-book-shop-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,24,4.5,"One of my favorite book shops ever. Has this amazing scent of old books - gosh, I could get high off of the aroma here (don't judge). Also, awesome staff...",Oakland,40.44491,-79.949,shopping,shopping
California Cycle Path Indoor Cycling Studio,http://s3-media1.fl.yelpcdn.com/bphoto/Uv84vrHes8vYSxFie83Liw/ms.jpg,http://www.yelp.com/biz/california-cycle-path-indoor-cycling-studio-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,11,5,I love this place. The instructors make everyone feel confortable.  The workouts are scheduled during convenvient hours. Most classes are available...,Brighton Heights,40.48120938,-80.04149772,active,active
Carnegie Museum of Natural History,http://s3-media4.fl.yelpcdn.com/bphoto/jdIu_tJKV-Fo6ZbwQbnWeA/ms.jpg,http://www.yelp.com/biz/carnegie-museum-of-natural-history-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,62,4.5,"Wow! This place was breath taking!

My boyfriend's work had a 1920's themed event here and it was perfect!
The architecture was beautiful, so detailed,...",Oakland,40.443424,-79.948845,arts,arts
Carnegie Museums of Pittsburgh,http://s3-media4.fl.yelpcdn.com/bphoto/lswQlnZjL0I3O236yhf4Bg/ms.jpg,http://www.yelp.com/biz/carnegie-museums-of-pittsburgh-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,49,4.5,This museum is awesome. There's two parts of it: the natural history museum and the art museum. The price of admission gives you access to both so come...,Oakland,40.444011,-79.950361,arts,arts
Carson Street Deli & Craft Beer Bar,http://s3-media4.fl.yelpcdn.com/bphoto/4jxyWyzDCStMPg3d1__hog/ms.jpg,http://www.yelp.com/biz/carson-street-deli-and-craft-beer-bar-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,79,4.5,My son has been after me for some time to go here so I took his advice and went. This place is remarkable! Upon entering there is a small bar area along...,South Side,40.42893,-79.98308,sandwiches,food
Casa Rasta,http://s3-media2.fl.yelpcdn.com/bphoto/TRs8QITIVcpg3LWJ9HhQhw/ms.jpg,http://www.yelp.com/biz/casa-rasta-pittsburgh-2?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,104,3.5,"(note - they are NOT closed as Yelp is indicating... this is incorrect )

They joined forces with the Berumen family aka Las Palmas ...
Word on the street...",Beechview,40.4052704,-80.0302382,mexican,food
Casa Reyna,http://s3-media4.fl.yelpcdn.com/bphoto/jQ4Q_FfuvtYfUesHCczOiA/ms.jpg,http://www.yelp.com/biz/casa-reyna-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,133,3.5,"I love Mexican food, I have eaten at so many establishments I could not remember them if I tried... but this place- This place will go down in my...",Strip District,40.4516855,-79.9833236,mexican,food
Cathedral of Learning,http://s3-media3.fl.yelpcdn.com/bphoto/2wu66dY3aAOBmoHA2BEnfg/ms.jpg,http://www.yelp.com/biz/cathedral-of-learning-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,69,4.5,"If you are looking for something educational and impressive, I highly recommend going to The Nationality Rooms at The Cathedral of Learning. It is only $4...",Oakland,40.44419679,-79.95344545,arts,arts
Chakh Le India,http://s3-media1.fl.yelpcdn.com/bphoto/qfI5tSvhhs-KUFGdI89fDQ/ms.jpg,http://www.yelp.com/biz/chakh-le-india-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,15,4,Best Indian food in Oakland: Vinay grinds & mixes his own spices & can customize to your heat preferences since he cooks everything fresh while you wait...,Oakland,40.44521025,-79.95570532,indpak,food
Chaya Japanese Cuisine,http://s3-media3.fl.yelpcdn.com/bphoto/Cafx8OsSXSCH5xVpKfNlTg/ms.jpg,http://www.yelp.com/biz/chaya-japanese-cuisine-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,174,4,"This is definitely one of the pricier Japanese places around, but you pay for the experience (and the food). From the more traditional and intimate space to...",Squirrel Hill,40.43389,-79.92311,sushi,food
Chengdu Gourmet,http://s3-media3.fl.yelpcdn.com/bphoto/RiBLh9-asJvAJlS5Ii98fg/ms.jpg,http://www.yelp.com/biz/chengdu-gourmet-pittsburgh-2?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,43,3.5,I've gotten delivery from here twice.  Both times the estimated delivery was 70-80 minutes (grubhub) but the food arrived in approximately 30 minutes....,Squirrel Hill,40.4295421,-79.92237256,chinese,food
Children's Museum of Pittsburgh,http://s3-media2.fl.yelpcdn.com/bphoto/qPcTAZ_bRZXrPF8hIZhYfg/ms.jpg,http://www.yelp.com/biz/childrens-museum-of-pittsburgh-pittsburgh-3?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,40,5,"How much do we love this museum? At least once a year we make the 3.5 hour drive and stay in a hotel just to visit it!

My boys (7 & 8) love it and have...",North Side,40.45270294,-80.00665784,arts,arts
Chinatown Inn,http://s3-media4.fl.yelpcdn.com/bphoto/baL6WxZNdEPqIBZW_rL_fw/ms.jpg,http://www.yelp.com/biz/chinatown-inn-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,82,4,Best Chinese I have got to have in Pittsburgh till date. Loved their pork friend rice and Kung pao chicken . Very friendly staff. Can't wait to go again!,Downtown,40.4371064,-79.99732929,chinese,food
Chipotle Mexican Grill,http://s3-media1.fl.yelpcdn.com/bphoto/xA6uaAQ8EDfy3VDNSqL4aA/ms.jpg,http://www.yelp.com/biz/chipotle-mexican-grill-pittsburgh-12?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,34,3.5,Call me insane but I have never been to chipotle before until yesterday. Actually I will save you the time and I'll just call myself insane for waiting that...,Downtown,40.44065795,-80.00199326,mexican,food
Clothes Minded,http://s3-media3.fl.yelpcdn.com/bphoto/fxf_cLVoNUSLtI3aB35cfQ/ms.jpg,http://www.yelp.com/biz/clothes-minded-pittsburgh-2?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,22,4.5,I freaking love this palace. You can find designer jeans for $19 and rather funky styles that are usually up my alley... especially during the summer...,Bloomfield,40.461206,-79.948711,shopping,shopping
CMU,http://s3-media2.fl.yelpcdn.com/bphoto/IO0ARMOJi1bAGo6oAAFf3g/ms.jpg,http://www.yelp.com/biz/cmu-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,1,5,"Carnegie Mellon University is a world class institution for research and education.  It is famous for engineering but also for programs in the sciences,...",Squirrel Hill,40.44324834,-79.94229555,donuts,food
Colangelo's Bakery,http://s3-media3.fl.yelpcdn.com/bphoto/tS9ckLIGPFVRcQZWCLsfnw/ms.jpg,http://www.yelp.com/biz/colangelos-bakery-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,25,4.5,"Having my breakfast today cooked by one of the owners (thanks Denise!) by far made it taste like home-cooked love in each dish.

Get the beans & greens,...",Strip District,40.4515419,-79.9827576,bakeries,food
Commonplace Voluto,http://s3-media2.fl.yelpcdn.com/bphoto/PEie75HODuq57SvjsOaWcQ/ms.jpg,http://www.yelp.com/biz/commonplace-voluto-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,72,4.5,Commonplace Poluto. What is this? Some kind of slam directed at Commonplace coffee saying that they are polluting the environment? Or are they just fan of...,Garfield,40.4647789,-79.93341827,coffee,food
Conflict Kitchen,http://s3-media4.fl.yelpcdn.com/bphoto/Ek37_PUqbK97Bq7rjTdpFg/ms.jpg,http://www.yelp.com/biz/conflict-kitchen-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,107,4.5,"Such an awesome concept! I visited Carnegie Mellon for the weekend and was told that this place was a must try. At the time I went, Iranian good was being...",Oakland,40.4411427,-79.9535582,ethnicmarkets,food
Conicella Pizza,http://s3-media3.fl.yelpcdn.com/bphoto/8njLtOiRKy4paSDEEpfBWg/ms.jpg,http://www.yelp.com/biz/conicella-pizza-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,24,4.5,"I loved this place when I lived in Pittsburgh. Fast delivery and cash-only means the price is right.

Pizza was always a cheesy, greasy pile of delicious....",Greenfield,40.42525,-79.94288,pizza,food
Constellation Coffee,http://s3-media4.fl.yelpcdn.com/bphoto/qxGvga4pAVKrGfRTVjI0hQ/ms.jpg,http://www.yelp.com/biz/constellation-coffee-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,46,4.5,"Beautiful atmosphere that makes you want to read or talk or think. Even better coffee. There's a back room with a big table, a few two-seater tables in the...",Lawrenceville,40.46566478,-79.95574388,coffee,food
